"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127","Negative mocking Api Test","","Thu Jul 03 12:52:33 CEST 2025","passed","Thu Jul 03 12:52:33 CEST 2025","","","",""
"","395","Postive mocking Api Test","","Thu Jul 03 12:52:33 CEST 2025","passed","Thu Jul 03 12:52:33 CEST 2025","","","",""
